x_c,y_c,z_c,cmd_theta_lower_neck_pan,cmd_theta_lower_neck_tilt,cmd_theta_upper_neck_tilt,cmd_theta_left_eye,cmd_theta_tilt,state_theta_lower_neck_pan,state_theta_left_lower_neck_tilt,state_theta_right_lower_neck_tilt,state_theta_left_upper_neck_tilt,state_theta_right_upper_neck_tilt,state_theta_left_eye,state_theta_tilt
-100.0,-100.0,-100.0,-30,0,0,-14,20,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-13.974609375,20.126953125
-100.0,-100.0,-100.0,-30,0,0,-12,20,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-11.953125,20.126953125
-0.8171895067740276,-0.39557849572146914,1.0522096206102223,-30,0,0,-10,20,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-9.931640625,20.126953125
-0.75258825106183,-0.3856184670455469,1.0505059766259583,-30,0,0,-8,20,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-7.998046875,20.126953125
-0.6726633151944819,-0.37550176062243384,1.04806254717561,-30,0,0,-6,20,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-6.240234375,20.126953125
-0.5953302930722927,-0.367600024020157,1.046024542836618,-30,0,0,-4,20,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-4.130859375,20.126953125
-0.5263780192979827,-0.3595105289113975,1.0440092397743386,-30,0,0,-2,20,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-2.109375,20.126953125
-0.47018789005599887,-0.3527968610878531,1.0422684452924529,-30,0,0,0,20,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-0.263671875,20.126953125
-0.3986903485286475,-0.34365480979307333,1.0402713537097896,-30,0,0,2,20,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,1.7578125,20.126953125
-0.3406593341538189,-0.3371270344430196,1.0385581314501422,-30,0,0,4,20,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,3.69140625,20.126953125
-0.28133383273306767,-0.33022562380539133,1.0369547940886827,-30,0,0,6,20,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,5.625,20.126953125
-0.22320327891215364,-0.32317859369839597,1.0354105890384615,-30,0,0,8,20,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,7.55859375,20.126953125
-0.1644444514386072,-0.315874720854892,1.0335693171674225,-30,0,0,10,20,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,9.580078125,20.126953125
-0.11581738784013118,-0.3100653494027549,1.0322333277299414,-30,0,0,12,20,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,11.337890625,20.126953125
-0.05526115672362175,-0.30316861018501884,1.0304465943919396,-30,0,0,14,20,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,13.359375,20.126953125
-100.0,-100.0,-100.0,-30,0,0,-14,15,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-14.0625,15.205078125
-100.0,-100.0,-100.0,-30,0,0,-12,15,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-11.953125,15.1171875
-0.814374628032027,-0.3770489729223319,1.0523093732512319,-30,0,0,-10,15,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-9.931640625,15.1171875
