x_c,y_c,z_c,cmd_theta_lower_neck_pan,cmd_theta_lower_neck_tilt,cmd_theta_upper_neck_tilt,cmd_theta_right_eye,cmd_theta_tilt,state_theta_lower_neck_pan,state_theta_left_lower_neck_tilt,state_theta_right_lower_neck_tilt,state_theta_left_upper_neck_tilt,state_theta_right_upper_neck_tilt,state_theta_right_eye,state_theta_tilt
-0.5401445368639299,-0.3331714353244714,1.0447928801909003,-5,0,0,-14,20,-5.712890625,0.703125,-0.703125,-0.087890625,0.087890625,-14.23828125,20.126953125
-0.4431593751549479,-0.33346889026976145,1.0420498713502415,-5,0,0,-12,20,-5.712890625,0.703125,-0.703125,-0.087890625,0.087890625,-12.041015625,20.126953125
-0.36640279597195047,-0.3333507966138205,1.0398080147658766,-5,0,0,-10,20,-5.712890625,0.703125,-0.703125,-0.087890625,0.087890625,-10.107421875,20.126953125
-0.3048621522503565,-0.3336608746047888,1.038172443378776,-5,0,0,-8,20,-5.712890625,0.703125,-0.703125,-0.087890625,0.087890625,-8.173828125,20.126953125
-0.23996464356609204,-0.33351205202989354,1.0360602504284677,-5,0,0,-6,20,-5.712890625,0.703125,-0.703125,-0.087890625,0.087890625,-6.15234375,20.126953125
-0.17630467040831999,-0.3340906162997091,1.0343085446564415,-5,0,0,-4,20,-5.712890625,0.703125,-0.703125,-0.087890625,0.087890625,-4.130859375,20.126953125
-0.1249471561167329,-0.3343711719494001,1.0329383717317635,-5,0,0,-2,20,-5.712890625,0.703125,-0.703125,-0.087890625,0.087890625,-2.021484375,20.126953125
-0.06932709787409241,-0.3332227222902453,1.0312018453287806,-5,0,0,0,20,-5.712890625,0.703125,-0.703125,-0.087890625,0.087890625,-0.087890625,20.126953125
-0.0031028261485721575,-0.3341383009488869,1.0293480127916972,-5,0,0,2,20,-5.712890625,0.703125,-0.703125,-0.087890625,0.087890625,1.7578125,20.126953125
0.05403788906618856,-0.3342201647643464,1.0276200149069983,-5,0,0,4,20,-5.625,0.703125,-0.703125,-0.087890625,0.087890625,3.8671875,20.126953125
0.11203703270678733,-0.33344057400007715,1.0260844784326728,-5,0,0,6,20,-5.625,0.703125,-0.703125,-0.087890625,0.087890625,5.888671875,20.126953125
0.17202940580154757,-0.3334650078939313,1.024151852536182,-5,0,0,8,20,-5.625,0.703125,-0.703125,-0.087890625,0.087890625,7.822265625,20.126953125
0.23066726767048618,-0.3338635121283643,1.0225490668284412,-5,0,0,10,20,-5.625,0.703125,-0.703125,-0.087890625,0.087890625,9.755859375,20.126953125
