x_c,y_c,z_c,theta_neck_pan_cmd_tminus1,theta_lower_tilt_cmd_tminus1,theta_upper_tilt_cmd_tminus1,theta_right_pan_cmd_tminus1,theta_tilt_cmd_tminus1
-0.44563436996496975,-0.28519580963633323,1.0067140603402707,0.0,0.0,0.0,-14,15
-0.3586250537882085,-0.28792268904149354,1.006839491473772,0.0,0.0,0.0,-12,15
-0.28739494008500377,-0.289233937265228,1.0069298309125532,0.0,0.0,0.0,-10,15
-0.2318812144736342,-0.2913606996879778,1.007015044530904,0.0,0.0,0.0,-8,15
-0.17268837889634459,-0.29279712033054744,1.0070947646691601,0.0,0.0,0.0,-6,15
-0.11395996796753727,-0.29395055532395736,1.007170217807359,0.0,0.0,0.0,-4,15
-0.06388063675944133,-0.2958292980589009,1.007246555893409,0.0,0.0,0.0,-2,15
-0.012912990648138112,-0.2971584558135626,1.0073164359383509,0.0,0.0,0.0,0,15
0.05047938756487058,-0.2978716383508708,1.0073907533770254,0.0,0.0,0.0,2,15
0.10568455281597045,-0.2991380379375803,1.0074641212388578,0.0,0.0,0.0,4,15
0.1637065399657871,-0.30054727409261933,1.0075422809547638,0.0,0.0,0.0,6,15
0.2222498507465358,-0.3010209041864615,1.0076084342879716,0.0,0.0,0.0,8,15
0.2789113101565437,-0.3020966673635989,1.007680734947957,0.0,0.0,0.0,10,15
0.33233173936697025,-0.30257710166837526,1.0077417461171936,0.0,0.0,0.0,12,15
0.39890653687035815,-0.30430048699558937,1.0078328532925072,0.0,0.0,0.0,14,15
-0.4454766910290838,-0.2851726115217809,1.0067139105194267,0.0,0.0,0.0,-14,15
-0.35812738716144843,-0.28786624705222963,1.006839243439422,0.0,0.0,0.0,-12,15
-0.28880158315780646,-0.2892147747916819,1.0069281371214298,0.0,0.0,0.0,-10,15
-0.22855832959738953,-0.29133889269495283,1.0070181468156663,0.0,0.0,0.0,-8,15
-0.17265269225129642,-0.2927840968205197,1.0070946265849,0.0,0.0,0.0,-6,15
-0.11198454068544994,-0.29403370567991527,1.0071733502107967,0.0,0.0,0.0,-4,15
-0.06285065055914785,-0.29590038905694976,1.0072485608489028,0.0,0.0,0.0,-2,15
-0.012991447088492203,-0.2971927230821758,1.0073168150383616,0.0,0.0,0.0,0,15
0.051182511803380626,-0.2979741775730394,1.0073928458895784,0.0,0.0,0.0,2,15
0.1057037261949294,-0.2991154007481907,1.0074638374431535,0.0,0.0,0.0,4,15
0.16375675695518455,-0.3004531310544235,1.007541070554089,0.0,0.0,0.0,6,15
0.22156172858100853,-0.30104145024718304,1.0076080066841697,0.0,0.0,0.0,8,15
0.2782623603199177,-0.30212899044132135,1.007680505196241,0.0,0.0,0.0,10,15
0.3319729611021107,-0.3025837720334493,1.007741468997992,0.0,0.0,0.0,12,15
0.3997978040854364,-0.30401826265250775,1.0078299814220486,0.0,0.0,0.0,14,15
-0.4466233927419675,-0.285178838138767,1.0067128225385515,0.0,0.0,0.0,-14,15
-0.3566933136021845,-0.28791680338398207,1.0068413859915648,0.0,0.0,0.0,-12,15
-0.28808302188335955,-0.28917854015439315,1.006928385563179,0.0,0.0,0.0,-10,15
-0.23025246377011943,-0.2913497798246034,1.0070165620572233,0.0,0.0,0.0,-8,15
-0.17254261349598887,-0.29319904084463627,1.0071003000977192,0.0,0.0,0.0,-6,15
-0.11367763247900986,-0.29403274064595974,1.0071716076750727,0.0,0.0,0.0,-4,15
-0.062220500957164915,-0.29592173271555655,1.007249490634041,0.0,0.0,0.0,-2,15
-0.012303893895790119,-0.2971738925546769,1.0073172650524167,0.0,0.0,0.0,0,15
0.05144439958040703,-0.29784209911050474,1.007391343315484,0.0,0.0,0.0,2,15
0.10468325890077868,-0.29911710461424346,1.0074628178051779,0.0,0.0,0.0,4,15
0.16404600218681664,-0.30058546980670287,1.0075431396344623,0.0,0.0,0.0,6,15
0.2223652842784516,-0.29934228805756125,1.0075860554764304,0.0,0.0,0.0,8,15
0.27916205405901096,-0.3021621547544314,1.0076818687579423,0.0,0.0,0.0,10,15
0.33214718000126964,-0.30270362532651673,1.0077432532420167,0.0,0.0,0.0,12,15
0.3986994862811182,-0.30426634811214487,1.0078321842492775,0.0,0.0,0.0,14,15
-0.44539040971742405,-0.28518448552497677,1.0067141577961791,0.0,0.0,0.0,-14,15
-0.3584361213726174,-0.28775791315720095,1.0068374761617669,0.0,0.0,0.0,-12,15
-0.2862655456730342,-0.28925202710452796,1.0069312271009072,0.0,0.0,0.0,-10,15
-0.23060778698350137,-0.29126653485412385,1.0070150834264855,0.0,0.0,0.0,-8,15
-0.17277585354834257,-0.2931912087047352,1.0070999568620036,0.0,0.0,0.0,-6,15
-0.11191486382305849,-0.29400558801449095,1.007173044558574,0.0,0.0,0.0,-4,15
-0.06408794132981199,-0.29584787882869323,1.007246593137032,0.0,0.0,0.0,-2,15
-0.013018111249403663,-0.2971371701049574,1.0073160432808173,0.0,0.0,0.0,0,15
0.050863707730958385,-0.2979168168173225,1.0073917514645245,0.0,0.0,0.0,2,15
0.10643209524624875,-0.29922527570442486,1.0074660540580724,0.0,0.0,0.0,4,15
0.16628324951802198,-0.30067297395779496,1.0075465978533118,0.0,0.0,0.0,6,15
0.2240437322249531,-0.29946947459894924,1.0075894746672212,0.0,0.0,0.0,8,15
0.27974833962590306,-0.3022121416820565,1.0076831376088848,0.0,0.0,0.0,10,15
0.333667987847752,-0.30269597197466225,1.0077447042753847,0.0,0.0,0.0,12,15
0.4002445664006149,-0.3042166754145673,1.0078330969370428,0.0,0.0,0.0,14,15
-0.4441105209916324,-0.28515901201405996,1.0067151238902052,0.0,0.0,0.0,-14,15
-0.3570303701533293,-0.2879753167028856,1.0068418258593201,0.0,0.0,0.0,-12,15
-0.2869167068295111,-0.2891043946409717,1.0069285833344934,0.0,0.0,0.0,-10,15
-0.23129106576993208,-0.2912625248955799,1.0070143316718934,0.0,0.0,0.0,-8,15
-0.17313786264619602,-0.29321559443174644,1.0070999138627448,0.0,0.0,0.0,-6,15
-0.11251236655397734,-0.2939182792815862,1.007171264063498,0.0,0.0,0.0,-4,15
-0.0634652508215775,-0.295879428720745,1.0072476520856855,0.0,0.0,0.0,-2,15
-0.012469971828433013,-0.29719320015906864,1.0073173541527098,0.0,0.0,0.0,0,15
0.05042832964581412,-0.29796931264572757,1.0073920102443719,0.0,0.0,0.0,2,15
0.10615233597389806,-0.2991354154110835,1.007464563962525,0.0,0.0,0.0,4,15
0.1639743195236174,-0.3003803228987015,1.007540317036799,0.0,0.0,0.0,6,15
0.2204884616903482,-0.3010712652663431,1.0076073098523537,0.0,0.0,0.0,8,15
0.2782787262328448,-0.30203275701112337,1.0076792321991748,0.0,0.0,0.0,10,15
0.333666264367378,-0.30273583294362594,1.0077452367295676,0.0,0.0,0.0,12,15
0.3990757996378993,-0.304437071264673,1.0078348567012771,0.0,0.0,0.0,14,15
-0.44339017806037084,-0.25545661877423576,1.0063177896910656,0.0,0.0,0.0,-14,10
-0.35807234015613587,-0.25824211774320593,1.0064422784871327,0.0,0.0,0.0,-12,10
-0.2864745672107417,-0.25958291380545917,1.0065333895122657,0.0,0.0,0.0,-10,10
-0.22859529711788895,-0.2616845637114655,1.0066206831299933,0.0,0.0,0.0,-8,10
-0.17080486998833344,-0.2633304912456102,1.0067017784191346,0.0,0.0,0.0,-6,10
-0.11019934188391833,-0.26454940539265925,1.00678002670204,0.0,0.0,0.0,-4,10
-0.062094536760317065,-0.26606686474356206,1.006849505779535,0.0,0.0,0.0,-2,10
-0.012043943929039624,-0.2674984308327377,1.0069198214671267,0.0,0.0,0.0,0,10
0.051912166971128215,-0.26826142135681025,1.0069953823193667,0.0,0.0,0.0,2,10
0.10494097528750501,-0.2693605169094507,1.0070642846915392,0.0,0.0,0.0,4,10
0.16551538283240386,-0.27088957432567595,1.0071466577082797,0.0,0.0,0.0,6,10
0.22227751996257972,-0.27158274824946926,1.007213933773883,0.0,0.0,0.0,8,10
0.2799481309708174,-0.2725732812268326,1.0072861230961392,0.0,0.0,0.0,10,10
0.3329574272764382,-0.2734904257453157,1.0073525670363415,0.0,0.0,0.0,12,10
0.40102091637369974,-0.27508440902462944,1.007443460765908,0.0,0.0,0.0,14,10
-0.44388316071675915,-0.2553979535729378,1.0063164998492442,0.0,0.0,0.0,-14,10
-0.35676410465407926,-0.25827172070945326,1.006444011671572,0.0,0.0,0.0,-12,10
-0.28802716525984484,-0.25950987627866395,1.0065308245878006,0.0,0.0,0.0,-10,10
-0.22955475932094882,-0.261543524112316,1.0066178127714491,0.0,0.0,0.0,-8,10
-0.17112051577396659,-0.2632830053084861,1.006700819562328,0.0,0.0,0.0,-6,10
-0.1097862360112224,-0.26455382072285694,1.0067805078903602,0.0,0.0,0.0,-4,10
-0.062049539700035905,-0.26599767132092267,1.0068486244199395,0.0,0.0,0.0,-2,10
-0.012186251269025283,-0.2673635730557969,1.00691786873343,0.0,0.0,0.0,0,10
0.05162653665033812,-0.2682502011913339,1.006994940157456,0.0,0.0,0.0,2,10
0.1065491563268226,-0.26925753735312613,1.0070645474249498,0.0,0.0,0.0,4,10
0.1645749737188167,-0.27088936278886255,1.0071456941847559,0.0,0.0,0.0,6,10
0.2231208545665111,-0.2717573123265089,1.0072171347940748,0.0,0.0,0.0,8,10
0.28010789883538645,-0.2725084197416484,1.0072854170387386,0.0,0.0,0.0,10,10
0.3343495962057601,-0.27348229736544044,1.0073538802904614,0.0,0.0,0.0,12,10
0.4020855556079219,-0.27516383165277686,1.0074456127818232,0.0,0.0,0.0,14,10
-0.4456845205246358,-0.25516954947046044,1.006311598583077,0.0,0.0,0.0,-14,10
-0.3570073913259244,-0.258259553663031,1.006443600076374,0.0,0.0,0.0,-12,10
-0.2865298963895885,-0.25967495706032195,1.0065345665493122,0.0,0.0,0.0,-10,10
-0.22938702649244447,-0.26165211939284627,1.0066194395101806,0.0,0.0,0.0,-8,10
-0.1681849767850362,-0.26289446108052855,1.0066986111531449,0.0,0.0,0.0,-6,10
-0.11035745031672983,-0.2645188149322485,1.0067794552121756,0.0,0.0,0.0,-4,10
-0.06078122819785081,-0.26609361651680813,1.0068512059348782,0.0,0.0,0.0,-2,10
-0.012135977679460841,-0.26734661845312485,1.0069176928663548,0.0,0.0,0.0,0,10
0.05098361692226794,-0.26816521250878395,1.0069931443591962,0.0,0.0,0.0,2,10
0.10688467043890948,-0.2693553573075734,1.007066201152663,0.0,0.0,0.0,4,10
0.16466238311109893,-0.2708864596635508,1.0071457445715348,0.0,0.0,0.0,6,10
0.22193108618164437,-0.27165099991287955,1.0072144945750285,0.0,0.0,0.0,8,10
0.279371998522046,-0.27247205355174503,1.0072841778911759,0.0,0.0,0.0,10,10
0.3338850464555916,-0.2735173807606217,1.0073538759089624,0.0,0.0,0.0,12,10
0.39987903616434606,-0.2749974926917747,1.0074411294130805,0.0,0.0,0.0,14,10
-0.4446141503587454,-0.2552928572703559,1.0063143446005143,0.0,0.0,0.0,-14,10
-0.3559219318468331,-0.2582206116887609,1.006444187044682,0.0,0.0,0.0,-12,10
-0.28641855282290174,-0.25966058968523864,1.0065344877430569,0.0,0.0,0.0,-10,10
-0.22920595112657682,-0.26163554188591515,1.0066194023193695,0.0,0.0,0.0,-8,10
-0.17016339868050667,-0.2632251669085101,1.0067010221716102,0.0,0.0,0.0,-6,10
-0.11001219200967938,-0.2646363899121157,1.0067813836501327,0.0,0.0,0.0,-4,10
-0.06284897874970685,-0.2660284785882926,1.0068482206189746,0.0,0.0,0.0,-2,10
-0.011737809832526258,-0.26733311282266853,1.0069179186186483,0.0,0.0,0.0,0,10
0.05035578293558163,-0.26817217002080873,1.0069925962305644,0.0,0.0,0.0,2,10
0.10652083980188531,-0.26938848300826707,1.0070662734253002,0.0,0.0,0.0,4,10
0.16492689923318515,-0.27083957062257663,1.0071453863870814,0.0,0.0,0.0,6,10
0.2224203602966448,-0.27172611719480994,1.007216001118346,0.0,0.0,0.0,8,10
0.28034332770919557,-0.27267779538279935,1.007287927508875,0.0,0.0,0.0,10,10
0.3341560289767256,-0.27346036492436127,1.007353388611519,0.0,0.0,0.0,12,10
0.39878634618124065,-0.2750675709763247,1.007440952345711,0.0,0.0,0.0,14,10
-0.44273076100513553,-0.25531512983027654,1.0063165670999201,0.0,0.0,0.0,-14,10
-0.3562514744501475,-0.2582983144785421,1.0064448917648048,0.0,0.0,0.0,-12,10
